step,learning_rate,train_loss,train_bpc,val_loss,val_bpc,step_time_sec
1,6e-07,8.745805740356445,12.617530570190473,8.741623759269714,12.611497246815555,0.281716593017336
2,1.2e-06,8.744375228881836,12.615466778380119,,,0.00882268900750205
3,1.8e-06,8.739086151123047,12.607836252126638,,,0.008648434013593942
4,2.4e-06,8.737635612487793,12.60574356723094,,,0.007099287991877645
5,2.9999999999999997e-06,8.726365089416504,12.589483639487767,,,0.008926131995394826
6,3.6e-06,8.715286254882812,12.573500259847181,,,0.007502732041757554
7,4.2e-06,8.713470458984375,12.570880620109238,,,0.006993670016527176
8,4.8e-06,8.696484565734863,12.546375156153099,,,0.00990684499265626
9,5.399999999999999e-06,8.679088592529297,12.52127807187799,,,0.007380643975920975
10,5.999999999999999e-06,8.667163848876953,12.504074303346881,,,0.008409467001911253
11,6.599999999999999e-06,8.651971817016602,12.482156834320925,,,0.00900020101107657
12,7.2e-06,8.641298294067383,12.466758195693274,,,0.0075309049570932984
13,7.799999999999998e-06,8.607488632202148,12.417981164186166,,,0.007026390987448394
14,8.4e-06,8.592804908752441,12.396797029183489,,,0.00846154399914667
15,8.999999999999999e-06,8.573074340820312,12.368331836673883,,,0.008583632006775588
16,9.6e-06,8.550220489501953,12.335360698711673,,,0.006946231995243579
17,1.02e-05,8.521459579467773,12.293867476433908,,,0.008758319017942995
18,1.0799999999999998e-05,8.51103401184082,12.27882656172005,,,0.007158066960982978
19,1.14e-05,8.473637580871582,12.224874916213784,,,0.007934509019833058
20,1.1999999999999999e-05,8.450277328491211,12.191173195950709,,,0.009434984007384628
21,1.26e-05,8.437986373901367,12.17344109671615,,,0.007327553990762681
22,1.3199999999999997e-05,8.41159439086914,12.13536551367633,,,0.009165488998405635
23,1.3799999999999998e-05,8.37548542022705,12.083271280799382,,,0.008823229989502579
24,1.44e-05,8.347135543823242,12.042371054701793,,,0.007143119990359992
25,1.4999999999999999e-05,8.326316833496094,12.012336004555111,,,0.0069910259917378426
26,1.5599999999999996e-05,8.306829452514648,11.984221656653267,,,0.00897920096758753
27,1.6199999999999997e-05,8.284346580505371,11.951785728700541,,,0.007458488980773836
28,1.68e-05,8.251206398010254,11.90397455176068,,,0.007254286960233003
29,1.74e-05,8.247384071350098,11.898460100043415,,,0.009629867039620876
30,1.7999999999999997e-05,8.238872528076172,11.88618053877181,,,0.008293229038827121
31,1.8599999999999998e-05,8.20250129699707,11.833707944062963,,,0.0071276609669439495
32,1.92e-05,8.168070793151855,11.784035226910165,,,0.00902654998935759
33,1.98e-05,8.148527145385742,11.755839703197111,,,0.007287991000339389
34,2.04e-05,8.151633262634277,11.760320883147994,,,0.0071067819953896105
35,2.1e-05,8.123821258544922,11.720196642771096,,,0.010470819019246846
36,2.1599999999999996e-05,8.092928886413574,11.675628370695906,,,0.009167462994810194
37,2.2199999999999998e-05,8.068609237670898,11.640542534058685,,,0.007016432995442301
38,2.28e-05,8.046600341796875,11.60879040912579,,,0.009302075020968914
39,2.34e-05,8.047483444213867,11.610064456603382,,,0.007806478999555111
40,2.3999999999999997e-05,8.018293380737305,11.567952096782511,,,0.007324178004637361
41,2.4599999999999998e-05,8.019906997680664,11.57028005394459,,,0.008687125984579325
42,2.52e-05,8.002395629882812,11.545016490463446,,,0.007820956991054118
43,2.5799999999999997e-05,7.974249839782715,11.504410698664135,,,0.007402585004456341
44,2.6399999999999995e-05,7.946836471557617,11.464861568271722,,,0.008845440985169262
45,2.6999999999999996e-05,7.945721626281738,11.463253186520854,,,0.007049945998005569
46,2.7599999999999997e-05,7.942605018615723,11.458756872096696,,,0.007202630979008973
47,2.8199999999999998e-05,7.913244247436523,11.41639823311979,,,0.008558604982681572
48,2.88e-05,7.886922836303711,11.378424463809282,,,0.007363941986113787
49,2.94e-05,7.887934684753418,11.379884252549806,,,0.007388747995719314
50,2.9999999999999997e-05,7.857200622558594,11.33554437343496,,,0.008944386965595186
51,3.06e-05,7.851954460144043,11.32797576093579,,,0.007197121041826904
52,3.119999999999999e-05,7.796716690063477,11.24828450397079,,,0.007576719974167645
53,3.1799999999999994e-05,7.827624320983887,11.292874789825293,,,0.009115676046349108
54,3.2399999999999995e-05,7.812646865844727,11.27126688957089,,,0.007501308980863541
55,3.2999999999999996e-05,7.7861785888671875,11.233081237634519,,,0.009029474982526153
56,3.36e-05,7.757818222045898,11.192165877063653,,,0.009328312997240573
57,3.42e-05,7.747167587280273,11.176800259104967,,,0.00908437801990658
58,3.48e-05,7.7256669998168945,11.14578146819535,,,0.010443528008181602
59,3.539999999999999e-05,7.729687690734863,11.151582099043651,,,0.00851520401192829
60,3.5999999999999994e-05,7.677992820739746,11.077002166462297,,,0.0070559270097874105
61,3.6599999999999995e-05,7.68359899520874,11.085090166567072,,,0.008870928024407476
62,3.7199999999999996e-05,7.652786731719971,11.04063746683326,,,0.008068888972047716
63,3.78e-05,7.668293476104736,11.063008970057494,,,0.007250780996400863
64,3.84e-05,7.634884834289551,11.01481048818789,,,0.009695790999103338
65,3.9e-05,7.623113632202148,10.997828233311093,,,0.008237124013248831
66,3.96e-05,7.582396507263184,10.939085839082392,,,0.007265989028383046
67,4.02e-05,7.589330673217773,10.94908972591778,,,0.009043362049851567
68,4.08e-05,7.543042182922363,10.882309550518356,,,0.007610564003698528
69,4.14e-05,7.52336311340332,10.853918654513922,,,0.007089449965860695
70,4.2e-05,7.510809421539307,10.835807505516861,,,0.008645146968774498
71,4.259999999999999e-05,7.509432792663574,10.833821449864699,,,0.006832198996562511
72,4.319999999999999e-05,7.504795074462891,10.827130636815532,,,0.0069010870065540075
73,4.3799999999999994e-05,7.467350006103516,10.773108822387712,,,0.009049782995134592
74,4.4399999999999995e-05,7.443902969360352,10.73928189875481,,,0.007020761026069522
75,4.4999999999999996e-05,7.4576735496521,10.759148646651877,,,0.008109386020805687
76,4.56e-05,7.428306579589844,10.716781064577125,,,0.008560719026718289
77,4.62e-05,7.411442756652832,10.692451710855469,,,0.007204484019894153
78,4.68e-05,7.412858009338379,10.694493488886513,,,0.010742968006525189
79,4.7399999999999993e-05,7.377580642700195,10.643599006981983,,,0.009516254998743534
80,4.7999999999999994e-05,7.362582206726074,10.621960837781028,,,0.00709838600596413
81,4.8599999999999995e-05,7.370230674743652,10.632995244660385,,,0.00689322198741138
82,4.9199999999999997e-05,7.291998863220215,10.520130598135763,,,0.008784867997746915
83,4.98e-05,7.317811012268066,10.557369657561786,,,0.007451637007761747
84,5.04e-05,7.279891490936279,10.502663352183532,,,0.007129374949727207
85,5.1e-05,7.2624993324279785,10.477571771353253,,,0.008954966033343226
86,5.1599999999999994e-05,7.266790866851807,10.483763146784314,,,0.0071967600379139185
87,5.2199999999999995e-05,7.2399091720581055,10.44498105901475,,,0.011635235045105219
88,5.279999999999999e-05,7.220600128173828,10.417123997158596,,,0.009740133013110608
89,5.339999999999999e-05,7.208869457244873,10.400200216383093,,,0.007327946019358933
90,5.399999999999999e-05,7.18510627746582,10.3659171947601,,,0.007326392980758101
91,5.459999999999999e-05,7.1819963455200195,10.361430511364391,,,0.009144320036284626
92,5.519999999999999e-05,7.132800102233887,10.29045533514512,,,0.006961820996366441
93,5.5799999999999994e-05,7.187899589538574,10.369947092235117,,,0.0070322719984687865
94,5.6399999999999995e-05,7.173715591430664,10.349483908504856,,,0.008999239013064653
95,5.6999999999999996e-05,7.069364547729492,10.198937175245588,,,0.007449072028975934
96,5.76e-05,7.088461875915527,10.226488795913811,,,0.007389289967250079
97,5.82e-05,7.083455562591553,10.219266212508176,,,0.010647259012330323
98,5.88e-05,7.076140403747559,10.208712669120631,,,0.007142448041122407
99,5.94e-05,7.0035319328308105,10.103960788202507,,,0.007097453984897584
100,5.9999999999999995e-05,7.013434410095215,10.118247043044379,,,0.008999459038022906
101,6.0599999999999996e-05,6.998882293701172,10.097252776888254,,,0.007207110000308603
102,6.12e-05,7.018754005432129,10.12592159685648,,,0.00720859196735546
103,6.18e-05,7.070824146270752,10.201042930822753,,,0.009297915967181325
104,6.239999999999999e-05,6.937060356140137,10.008062574150802,,,0.007335458998568356
105,6.299999999999999e-05,6.925134181976318,9.990856741827884,,,0.007037421979475766
106,6.359999999999999e-05,6.967968940734863,10.05265423586651,,,0.008950538001954556
107,6.419999999999999e-05,6.906244277954102,9.963604370972163,,,0.007147186959628016
108,6.479999999999999e-05,6.904331684112549,9.96084508132172,,,0.007222577987704426
109,6.539999999999999e-05,6.867711067199707,9.908012698907267,,,0.00851087598130107
110,6.599999999999999e-05,6.904816627502441,9.96154470674543,,,0.007032472989521921
111,6.659999999999999e-05,6.890475273132324,9.94085450591603,,,0.006949037022422999
112,6.72e-05,6.818658351898193,9.837244589799637,,,0.00867167697288096
113,6.78e-05,6.77004337310791,9.767108000985973,,,0.00785443902714178
114,6.84e-05,6.789241790771484,9.794805462942126,,,0.007453640049789101
115,6.9e-05,6.782190799713135,9.784633033108893,,,0.009338413015939295
116,6.96e-05,6.785059928894043,9.78877231154986,,,0.009791378979571164
117,7.02e-05,6.7733917236328125,9.771938649683408,,,0.007556742988526821
118,7.079999999999999e-05,6.747626304626465,9.734767007456522,,,0.008930650015827268
119,7.139999999999999e-05,6.764799118041992,9.759542140209216,,,0.007108294987119734
120,7.199999999999999e-05,6.671107769012451,9.6243740955901,,,0.007644537021405995
121,7.259999999999999e-05,6.7115678787231445,9.682745695223542,,,0.009022512007504702
122,7.319999999999999e-05,6.681361198425293,9.639166667356111,,,0.006893814017530531
123,7.379999999999999e-05,6.6756696701049805,9.630955527673319,,,0.007564225990790874
124,7.439999999999999e-05,6.676013469696045,9.631451525638406,,,0.008877821965143085
125,7.5e-05,6.679531097412109,9.636526389700066,,,0.007207721006125212
126,7.56e-05,6.663997173309326,9.614115674431435,,,0.008835341956000775
127,7.62e-05,6.566937446594238,9.47408808802954,,,0.009340386022813618
128,7.68e-05,6.613602161407471,9.541411040675088,,,0.007645088015124202
129,7.74e-05,6.578675270080566,9.491022187764095,,,0.00893217301927507
130,7.8e-05,6.558571815490723,9.46201903352259,,,0.00902407499961555
131,7.86e-05,6.544785976409912,9.442130271846212,,,0.007061066047754139
132,7.92e-05,6.5312886238098145,9.422657708184921,,,0.00984437798615545
133,7.98e-05,6.518739700317383,9.404553438493895,,,0.008331860997714102
134,8.04e-05,6.5232930183410645,9.411122487826251,,,0.0070600349572487175
135,8.1e-05,6.472511291503906,9.337859942350505,,,0.010217885952442884
136,8.16e-05,6.4538469314575195,9.310932962670217,,,0.009237653983291239
137,8.22e-05,6.506752014160156,9.387258863123131,,,0.006935120967682451
138,8.28e-05,6.438759803771973,9.289166838377021,,,0.008784066012594849
139,8.34e-05,6.445268154144287,9.298556403183527,,,0.008300903020426631
140,8.4e-05,6.471887111663818,9.336959441190588,,,0.007116640044841915
141,8.459999999999998e-05,6.474489212036133,9.34071347849362,,,0.010147674998734146
142,8.519999999999998e-05,6.387857913970947,9.215730934389205,,,0.008017414016649127
143,8.579999999999998e-05,6.385342597961426,9.212102100455999,,,0.006955689052119851
144,8.639999999999999e-05,6.349857330322266,9.160907680808366,,,0.009827757021412253
145,8.699999999999999e-05,6.335720062255859,9.140511914277242,,,0.007341791002545506
146,8.759999999999999e-05,6.366018295288086,9.184223024820534,,,0.007197521044872701
147,8.819999999999999e-05,6.333881855010986,9.137859941800938,,,0.010717469966039062
148,8.879999999999999e-05,6.399580955505371,9.232643708275052,,,0.008729985042009503
149,8.939999999999999e-05,6.282447814941406,9.063656307259672,,,0.007030750042758882
150,8.999999999999999e-05,6.306836128234863,9.098841205903788,,,0.009444711031392217
151,9.059999999999999e-05,6.317797660827637,9.114655354615925,,,0.007344274956267327
152,9.12e-05,6.297770023345947,9.08576158134037,,,0.006957944016903639
