step,learning_rate,train_loss,train_bpc,val_loss,val_bpc,step_time_sec
1,6e-07,8.773197174072266,12.657048055775126,8.773356676101685,12.65727816856198,0.303203567978926
2,1.2e-06,8.782422065734863,12.670356761229494,,,0.009670051978901029
3,1.8e-06,8.773738861083984,12.657829544940647,,,0.009722510003484786
4,2.4e-06,8.760475158691406,12.638694067275047,,,0.01054646197007969
5,2.9999999999999997e-06,8.752410888671875,12.62705978490948,,,0.011120486014988273
6,3.6e-06,8.736833572387695,12.604586467955935,,,0.012662620982155204
7,4.2e-06,8.72416877746582,12.58631503112827,,,0.011393195949494839
8,4.8e-06,8.710947036743164,12.567240091355774,,,0.009456583007704467
9,5.399999999999999e-06,8.6860990524292,12.53139202760993,,,0.010652770986780524
10,5.999999999999999e-06,8.664912223815918,12.500825895037385,,,0.010658451006747782
11,6.599999999999999e-06,8.645095825195312,12.472236875019158,,,0.010836553992703557
12,7.2e-06,8.616138458251953,12.430460225332771,,,0.011778226995375007
13,7.799999999999998e-06,8.578378677368164,12.375984376706676,,,0.011934217996895313
14,8.4e-06,8.574628829956055,12.370574490441134,,,0.009432977996766567
15,8.999999999999999e-06,8.535270690917969,12.31379269843227,,,0.011068668041843921
16,9.6e-06,8.513786315917969,12.282797297163171,,,0.011486420989967883
17,1.02e-05,8.45949649810791,12.204473646237835,,,0.011569615977350622
18,1.0799999999999998e-05,8.447487831115723,12.187148801920518,,,0.012604893010575324
19,1.14e-05,8.41430377960205,12.13927433536514,,,0.010016539948992431
20,1.1999999999999999e-05,8.384194374084473,12.095835645340816,,,0.00994522700784728
21,1.26e-05,8.370637893676758,12.076277778284696,,,0.010990411974489689
22,1.3199999999999997e-05,8.332691192626953,12.021532260862047,,,0.011408144026063383
23,1.3799999999999998e-05,8.284307479858398,11.951729318391058,,,0.011523619992658496
24,1.44e-05,8.284152030944824,11.951505053014333,,,0.011472254002001137
25,1.4999999999999999e-05,8.246451377868652,11.897114507783064,,,0.0096984559786506
26,1.5599999999999996e-05,8.21071720123291,11.845560988360429,,,0.01010023697745055
27,1.6199999999999997e-05,8.195795059204102,11.824032888056026,,,0.010840842965990305
28,1.68e-05,8.15517520904541,11.765430831670429,,,0.011907888983841985
29,1.74e-05,8.152044296264648,11.760913879328168,,,0.012521967990323901
30,1.7999999999999997e-05,8.097399711608887,11.682078408033863,,,0.011639746953733265
31,1.8599999999999998e-05,8.099725723266602,11.685434133517498,,,0.009632242028601468
32,1.92e-05,8.099714279174805,11.685417623183016,,,0.011550520022865385
33,1.98e-05,8.042922973632812,11.603485088311974,,,0.011542115011252463
34,2.04e-05,8.043262481689453,11.603974894901631,,,0.011622685997281224
35,2.1e-05,8.011402130126953,11.558010123701434,,,0.011915943992789835
36,2.1599999999999996e-05,7.988041877746582,11.524308403438358,,,0.009649492974858731
37,2.2199999999999998e-05,7.989741325378418,11.526760188109058,,,0.009636218950618058
